_col0,primary_category
3,haute_cuisine_restaurant
3280,hawaiian_restaurant
155,hazardous_waste_disposal
385250,health_and_medical
922,health_and_wellness_club
1145,health_coach
3627,health_consultant
6466,health_department
7573,health_food_restaurant
85999,health_food_store
8417,health_insurance_office
1703,health_market
111,health_retreats
12140,health_spa
284,hearing_aid_provider
19003,hearing_aids
1170,heliports
3579,hematology
61,henna_artist
60,hepatologist
212,herb_and_spice_shop
1165,herbal_shop
6,high_gliding_center
161649,high_school
35896,hiking_trail
940,himalayan_nepalese_restaurant
123387,hindu_temple
507,historical_tours
31188,history_museum
18013,hobby_shop
736,hockey_arena
188,hockey_equipment
775,hockey_field
951,holding_companies
223,holiday_decor
41,holiday_decorating
3,holiday_market
97,holiday_park
153407,holiday_rental_home
83,holistic_animal_care
16724,home_and_garden
381,home_and_rental_insurance
865,home_automation
81801,home_cleaning
11516,home_decor
113099,home_developer
113,home_energy_auditor
66876,home_goods_store
46116,home_health_care
135722,home_improvement_store
6538,home_inspector
108,home_network_installation
1831,home_organization
25494,home_security
75351,home_service
3951,home_staging
2055,home_theater_systems_stores
583,home_window_tinting
3548,homeless_shelter
950,homeopathic_medicine
258,homeowner_association
171,honduran_restaurant
310,honey_farm_shop
1125,hong_kong_style_cafe
15067,hookah_bar
8380,horse_boarding
539,horse_equipment_shop
446,horse_racing_track
6429,horse_riding
4717,horse_trainer
10316,horseback_riding_service
5811,hospice
729414,hospital
1462,hospital_equipment_and_supplies
1111,hospitalist
48334,hostel
814,hot_air_balloons_tour
10176,hot_dog_restaurant
28,hot_springs
3453,hot_tubs_and_pools
1374630,hotel
1990,hotel_bar
3180,hotel_supply_service
340,house_sitting
14,houseboat
5317,housing_authorities
967,housing_cooperative
3464,human_resource_services
1216,hungarian_restaurant
26893,hunting_and_fishing_supplies
116808,hvac_services
9589,hvac_supplier
123,hybrid_car_repair
3650,hydraulic_equipment_supplier
393,hydraulic_repair_service
45,hydro_jetting
251,hydroponic_gardening
22,hydrotherapy
2171,hypnosis_hypnotherapy
40,iberian_restaurant
6126,ice_cream_and_frozen_yoghurt
148488,ice_cream_shop
5119,ice_skating_rink
231,ice_supplier
2361,image_consultant
267,immigration_and_naturalization
107,immigration_assistance_services
7925,immigration_law
38,immunodermatologist
50,imported_food
806,importer_and_exporter
654,importers
5647,indian_grocery_store
88161,indian_restaurant
40,indian_sweets_shop
370,indo_chinese_restaurant
49280,indonesian_restaurant
117,indoor_golf_center
115,indoor_landscaping
