Category code;Overture Taxonomy;Meta Taxonomy;MSFT Taxonomy
indonesian_restaurant;[eat_and_drink,restaurant,asian_restaurant,indonesian_restaurant];"[indonesian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[acehnese_restaurant,indonesian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[balinese_restaurant,indonesian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[betawinese_restaurant,indonesian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[javanese_restaurant,indonesian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[manadonese_restaurant,indonesian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[padangnese_restaurant,indonesian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[sundanese_restaurant,indonesian_restaurant,asian_restaurant,restaurant,food_beverage,super_business]";"[Restaurant|Indonesian restaurant];[Restaurant|Tegal restaurant];[Restaurant|Indonesian restaurant|Padang restaurant];[Restaurant|Soto restaurant]"
japanese_restaurant;[eat_and_drink,restaurant,asian_restaurant,japanese_restaurant];"[japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[donburi_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[kaiseki_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[kushikatsu_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[monjayaki_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[nabe_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[okonomiyaki_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[ramen_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[shabu_shabu_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[soba_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[sukiyaki_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[takoyaki_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[tempura_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[teppanyaki_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[tonkatsu_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[udon_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[unagi_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[wagashi_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[yakiniku_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[yakitori_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[yoshoku_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business]";"[Restaurant|Japanese restaurant];[Restaurant|Japanese restaurant|Nabe];[Restaurant|Japanese restaurant|Oden];[Restaurant|Japanese restaurant|Rice bowl dishes];[Restaurant|Japanese restaurant|Sukiyaki and shabu shabu];[Restaurant|Japanese restaurant|Tempura];[Restaurant|Japanese restaurant|Yakiniku];[Restaurant|Japanese restaurant|Yakitori];[Restaurant|Japanese restaurant|Izakaya restaurant];[Restaurant|Japanese restaurant|Japanese curry restaurant];[Restaurant|Japanese restaurant|Ramen restaurant];[Restaurant|Japanese restaurant|Teppanyaki restaurant]"
korean_restaurant;[eat_and_drink,restaurant,asian_restaurant,korean_restaurant];"[korean_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[bossam_jokbal_restaurant,korean_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[bunsik_restaurant,korean_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[gukbap_restaurant,korean_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[janguh_restaurant,korean_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[samgyetang_restaurant,korean_restaurant,asian_restaurant,restaurant,food_beverage,super_business]";[Restaurant|Korean restaurant]
sushi_restaurant;[eat_and_drink,restaurant,asian_restaurant,sushi_restaurant];[sushi_restaurant,japanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];"[Restaurant|Sushi bar];[Restaurant|Japanese restaurant|Conveyor belt sushi]"
laotian_restaurant;[eat_and_drink,restaurant,asian_restaurant,laotian_restaurant];[not_available];[Restaurant|Laotian restaurant]
malaysian_restaurant;[eat_and_drink,restaurant,asian_restaurant,malaysian_restaurant];[malaysian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];"[Restaurant|Malaysian restaurant];[Restaurant|Malaysian restaurant|Mamak restaurant];[Restaurant|Malaysian restaurant|Nyonya restaurant]"
mongolian_restaurant;[eat_and_drink,restaurant,asian_restaurant,mongolian_restaurant];[mongolian_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Mongolian restaurant]
noodles_restaurant;[eat_and_drink,restaurant,asian_restaurant,noodles_restaurant];[noodle_house,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Noodles]
singaporean_restaurant;[eat_and_drink,restaurant,asian_restaurant,singaporean_restaurant];[singaporean_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Singaporean restaurant]
taiwanese_restaurant;[eat_and_drink,restaurant,asian_restaurant,taiwanese_restaurant];[taiwanese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Chinese restaurant|Taiwanese restaurant]
thai_restaurant;[eat_and_drink,restaurant,asian_restaurant,thai_restaurant];[thai_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Thai restaurant]
vietnamese_restaurant;[eat_and_drink,restaurant,asian_restaurant,vietnamese_restaurant];"[vietnamese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[pho_restaurant,vietnamese_restaurant,asian_restaurant,restaurant,food_beverage,super_business]";[Restaurant|Vietnamese restaurant]
hong_kong_style_cafe;[eat_and_drink,restaurant,asian_restaurant,hong_kong_style_café];[hong_kong_restaurant,chinese_restaurant,asian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Hong Kong style cafe]
australian_restaurant;[eat_and_drink,restaurant,australian_restaurant];[australian_restaurant,restaurant,food_beverage,super_business];"[Restaurant|Australian restaurant];[Restaurant|Modern Australian restaurant]"
austrian_restaurant;[eat_and_drink,restaurant,austrian_restaurant];[austrian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Austrian restaurant]
bangladeshi_restaurant;[eat_and_drink,restaurant,bangladeshi_restaurant];[bengali_bangladeshi_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Bangladeshi restaurant]
indian_restaurant;[eat_and_drink,restaurant,indian_restaurant];"[indian_restaurant,restaurant,food_beverage,super_business];[andhra_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[awadhi_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[chaat_place,indian_restaurant,restaurant,food_beverage,super_business];[chettinad_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[dhaba_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[dosa_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[goan_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[gujarati_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[hyderabadi_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[indian_chinese_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[irani_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[jain_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[karnataka_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[kashmiri_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[kerala_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[maharashtrian_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[mughalai_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[north_indian_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[parsi_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[punjabi_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[rajasthani_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[south_indian_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[tamilian_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[udupi_restaurant,indian_restaurant,restaurant,food_beverage,super_business];[uttar_pradesh_restaurant,indian_restaurant,restaurant,food_beverage,super_business]";"[Restaurant|Indian restaurant];[Restaurant|Indian restaurant|Bengali];[Restaurant|Indian restaurant|Gujarati];[Restaurant|Indian restaurant|Maharashtrian];[Restaurant|Indian restaurant|Mess];[Restaurant|Indian restaurant|North indian];[Restaurant|Indian restaurant|South indian];[Restaurant|Indian restaurant|North indian|Dhaba];[Restaurant|Indian restaurant|North indian|Mughlai];[Restaurant|Indian restaurant|North indian|Punjabi];[Restaurant|Indian restaurant|North indian|Rajasthani];[Restaurant|Indian restaurant|South indian|Andhra];[Restaurant|Indian restaurant|South indian|Chettinad];[Restaurant|Indian restaurant|South indian|Hyderabadi];[Restaurant|Indian restaurant|South indian|Kerala]"
basque_restaurant;[eat_and_drink,restaurant,basque_restaurant];[basque_restaurant,restaurant,food_beverage,super_business];[Restaurant|Basque restaurant]
british_restaurant;[eat_and_drink,restaurant,british_restaurant];[british_restaurant,restaurant,food_beverage,super_business];[Restaurant|British restaurant]
eastern_european_restaurant;[eat_and_drink,restaurant,eastern_european_restaurant];[eastern_european_restaurant,restaurant,food_beverage,super_business];[Restaurant|Eastern European restaurant]
belarusian_restaurant;[eat_and_drink,restaurant,eastern_european_restaurant,belarusian_restaurant];[belarusian_restaurant,eastern_european_restaurant,restaurant,food_beverage,super_business];[not_available]
bulgarian_restaurant;[eat_and_drink,restaurant,eastern_european_restaurant,bulgarian_restaurant];[bulgarian_restaurant,eastern_european_restaurant,restaurant,food_beverage,super_business];[Restaurant|Bulgarian restaurant]
romanian_restaurant;[eat_and_drink,restaurant,eastern_european_restaurant,romanian_restaurant];[romanian_restaurant,eastern_european_restaurant,restaurant,food_beverage,super_business];[Restaurant|Romanian restaurant]
tatar_restaurant;[eat_and_drink,restaurant,eastern_european_restaurant,tatar_restaurant];[tatar_restaurant,eastern_european_restaurant,restaurant,food_beverage,super_business];[not_available]
ukrainian_restaurant;[eat_and_drink,restaurant,eastern_european_restaurant,ukrainian_restaurant];[ukrainian_restaurant,restaurant,food_beverage,super_business];[Restaurant|Ukrainian restaurant]
